Period,Sa
0.01,0.8802637457847595
0.02,0.8871949911117554
0.03,0.8909480571746826
0.04,0.9241999387741089
0.05,0.9395142197608948
0.075,1.1177867650985718
0.1,1.263104796409607
0.11,1.1898387670516968
0.12,1.1639609336853027
0.13,1.3506081104278564
0.14,1.675215244293213
0.15,2.0910396575927734
0.16,2.0215232372283936
0.17,2.006854772567749
0.18,2.2808611392974854
0.19,2.286264181137085
0.2,2.167490005493164
0.22,2.3662071228027344
0.24,2.3698017597198486
0.26,2.9617230892181396
0.28,3.3045315742492676
0.3,2.9055280685424805
0.32,2.5858206748962402
0.34,2.1166861057281494
0.36,1.9605454206466675
0.38,2.222468376159668
0.4,2.065258026123047
0.42,1.9849048852920532
0.44,2.0676028728485107
0.46,2.1386280059814453
0.48,2.1488544940948486
0.5,2.148089647293091
0.55,2.141206979751587
0.6,2.065995454788208
0.65,1.8246612548828125
0.7,1.5248759984970093
0.75,1.3118960857391357
0.8,1.1888431310653687
0.85,1.0693713426589966
0.9,1.2655377388000488
0.95,1.441556692123413
1.0,1.338423490524292
1.1,1.0443426370620728
1.2,0.9066949486732483
1.3,0.8835270404815674
1.4,0.8420013189315796
1.5,0.9081268906593323
1.6,0.9460842609405518
1.7,0.8780553340911865
1.8,0.8446102142333984
1.9,0.7683435082435608
2.0,0.7068688273429871
2.2,0.4955209493637085
2.4,0.4010125994682312
2.6,0.34648916125297546
2.8,0.3311591148376465
3.0,0.34169599413871765
3.2,0.35198938846588135
3.4,0.32904133200645447
3.6,0.296430766582489
3.8,0.2748604118824005
4.0,0.25814229249954224
4.2,0.2373400181531906
4.4,0.21757706999778748
4.6,0.2066233903169632
4.8,0.21553239226341248
5.0,0.2068754881620407
5.5,0.16151835024356842
6.0,0.14117801189422607
6.5,0.1350751668214798
7.0,0.12734858691692352
7.5,0.10201993584632874
8.0,0.08860089629888535
8.5,0.08494184911251068
9.0,0.07539571076631546
9.5,0.0672745630145073
10.0,0.06687705963850021
